geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
dnk,Denmark,,,,,,,6.68924,5.75494,5.40425,5.62153,4.60433,4.55777,4.78618,5.27838,5.1616,4.42035,4.30407,4.67039,4.71237,3.97187,4.09268,4.35895,4.67794,4.05223,4.67206,4.23329,3.89189,3.45881,3.16231,3.50423,3.28074,3.0166,2.77048,2.66669,2.58125,2.83085,2.76584,2.61358,2.12315,1.92044,2.14953,2.30981,1.75485,1.587,1.59682,1.13056,1.14681,1.17038,0.84168,0.80695,1.18844,1.26833,1.61758,1.25664,1.35343,0.90832,0.9288,1.25986,0.99704,1.24123,1.33752,0.9895,0.78959,0.75671,0.74243
dom,Dominican Republic,,,,,,23.24063,21.9128,20.33243,20.32249,21.30028,23.23797,22.23822,20.57965,22.22791,22.15196,21.47144,19.04846,20.06714,18.72043,18.67317,19.75951,17.85407,17.06704,16.10524,16.51716,13.10041,17.36715,11.86863,15.7471,13.82778,13.42282,12.50573,12.01284,10.7815,9.99449,9.81478,9.1934,9.1443,8.99181,7.82103,6.71834,6.99752,6.80512,6.69385,7.02047,7.21194,6.85872,6.51157,6.27099,6.01021,5.87493,5.41362,5.13893,4.99411,4.8378,5.05883,5.02705,4.83761,4.57147,4.32512,4.52253,4.21568,4.15372,4.29425,4.45398
dza,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10698,8.39505,8.88618,8.41303,8.45672,7.72217,6.55927,6.366,6.32602,5.54975,8.01122,7.53172,7.08353,8.02697,9.12007,9.40707,10.53279,11.06831,11.03188,11.24383,11.47918,12.83417,11.23543,10.61318,13.08678,
ecu,Ecuador,33.65486,34.0354,35.2529,34.19575,31.83586,31.31308,28.03375,28.40554,29.28189,26.25218,26.02928,25.25878,25.83565,25.3755,24.09384,22.35518,20.11773,18.70307,18.20012,16.02257,16.11089,15.76644,15.92607,16.90085,18.61334,18.87895,20.81149,21.34757,22.0108,22.40069,20.52101,20.86308,18.92212,23.40316,22.14595,21.91217,20.75006,20.10877,17.47595,17.57135,12.40118,10.47015,9.434,9.05013,7.96892,7.72633,7.71968,7.64839,7.34938,8.61226,8.33021,7.90854,6.99944,6.96321,7.4044,8.0205,8.07213,7.90222,7.64506,7.78676,8.38575,8.08,7.39304,7.99547,9.4761
egy,Egypt,27.64883,27.15308,24.62783,24.42186,23.19902,25.69411,24.88447,24.15575,25.38007,25.54368,24.10982,22.93154,23.74969,26.57493,28.80749,27.66555,26.01497,24.81882,23.39454,20.05644,16.58186,21.62057,18.04863,19.04511,18.10759,17.10456,17.39002,19.63301,18.04546,18.6948,18.51253,16.98667,15.58591,15.73905,15.71429,15.71078,16.11508,15.75103,15.88448,15.90865,15.53808,15.35127,15.40486,15.28671,14.26994,13.98169,13.2372,13.42013,12.63024,12.99795,13.34076,13.86911,11.27277,11.27435,11.33771,11.39406,11.76932,10.98638,10.83025,10.69714,11.16682,11.43693,10.94575,10.60031,13.71211
eri,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.35172,19.43513,21.91317,18.81167,16.22737,15.11534,23.36709,22.72234,12.59042,15.16384,13.60181,11.82992,10.64227,22.6,24.6,24.26598,16.77631,14.12423,,,,,,,,,,,,,,,
esp,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87456,4.37962,4.29484,4.14483,3.81324,3.74431,3.67426,3.48212,3.42078,3.11781,2.75837,2.40075,2.49466,2.35367,2.2496,2.41741,2.36252,2.39777,2.60946,2.52698,2.72327,2.81522,2.80345,2.70128,2.5198,2.78468,2.76825,2.30958,2.49973,2.53904
est,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13064,4.12813,4.08874,5.05183,3.62815,3.88501,3.49645,3.55249,3.45929,3.6187,3.28669,3.14382,3.92534,3.40126,2.47105,3.17093,3.66567,3.28432,3.04743,3.11496,2.80642,2.0716,2.33886,2.04938,2.26565,1.93182,1.922,2.43516,1.92666,1.91305
eth,Ethiopia,,,,,,,,,,,,,,,,,,,,,,53.40661,51.96008,53.05338,46.73226,51.29852,49.7452,47.92892,47.41014,47.21293,48.28647,57.23794,62.27748,58.48604,51.41658,50.66069,49.91984,52.71375,47.86759,44.3782,44.66602,42.34057,38.69237,37.28506,38.67975,41.1745,42.52417,42.26501,45.18456,45.88269,41.44682,41.24996,44.33094,41.23951,38.52045,36.05698,34.69696,33.77928,31.21881,33.63332,35.55827,37.57911,37.64223,35.78648,34.86972
fin,Finland,,,,,,,,,,,,,,,,9.79829,9.304,8.66045,8.25269,8.13093,8.57992,7.66401,7.77248,7.56871,7.24524,6.88021,6.55913,5.2826,5.19626,5.22148,5.39664,4.82436,4.27783,4.37799,4.19103,3.80076,3.45274,3.4244,2.90042,2.8868,2.95485,2.76462,2.67313,2.53635,2.37998,2.27855,2.00161,2.38053,2.20537,2.25383,2.36677,2.25899,2.18836,2.21183,2.21758,2.0605,2.08978,2.06804,2.11423,2.18977,2.24039,2.15907,2.24134,2.30587,2.46377
fji,Fiji,,,,37.84047,33.0036,30.30822,29.07268,26.52905,26.40604,24.35656,25.13034,21.56678,22.04363,22.37658,23.33333,23.47084,23.5766,21.40586,20.09399,19.71368,20.28057,17.96402,18.57805,16.6266,13.90065,16.38537,18.95847,20.89578,17.63165,19.64294,17.95793,18.2567,17.57599,17.01226,17.91829,17.17496,17.30718,14.81641,14.37053,16.40492,14.98754,13.01281,13.31091,12.51435,12.3499,12.07433,12.37266,11.88291,10.6975,10.08844,9.3819,9.21772,9.67578,10.11311,8.09852,7.87162,10.66433,10.53183,10.90656,11.29116,14.32461,15.27648,12.71145,11.73291,8.36068
fra,France,9.86966,8.52624,9.23619,8.30742,7.52259,7.34294,7.16819,7.14609,6.91648,6.30411,6.25063,5.72314,6.38522,6.37769,5.10608,4.55062,4.31398,4.08904,3.94969,3.91512,3.41564,3.33927,3.84065,3.39555,3.16594,3.15222,3.05819,2.92257,2.69305,2.95985,2.97795,2.47178,2.45934,2.17161,2.27071,2.31338,2.27526,2.21546,2.23556,2.11672,1.9845,2.00226,1.90378,1.74561,1.72019,1.5827,1.42706,1.51673,1.42031,1.23242,1.50088,1.55137,1.52594,1.3614,1.46155,1.5036,1.33798,1.43496,1.5311,1.40828,1.46043,1.46335,1.7631,1.7405,1.43172
fsm,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,53.38225,,,,,,,,,,,,23.9209,23.37304,23.10819,25.25381,23.64826,24.07505,23.04577,23.22009,23.17163,21.95932,22.42775,22.33974,24.98154,26.20064,25.0322,24.746,26.36572,28.10719,26.41154,24.90262,26.20169,27.16692,27.62994,22.51219,23.25449,22.04814,22.18452,23.22709,23.28258,
gab,Gabon,32.18654,35.21184,35.88547,44.08357,30.18043,26.30631,25.16557,24.10181,18.38134,18.62155,18.54749,13.79638,13.08756,11.6077,8.20554,6.40139,5.00626,5.46218,6.50964,7.44648,6.75736,6.1172,6.12331,6.50004,6.10461,6.75108,9.24493,10.9926,10.07618,8.68589,7.32445,7.62367,8.25139,8.48423,9.08602,8.03167,7.09283,7.21752,7.02079,7.29363,6.21362,6.14393,5.74386,6.00402,5.46729,4.98464,4.9112,4.95783,4.22984,5.04417,3.91445,3.43229,3.3537,3.32908,3.6212,4.31163,4.97314,5.26576,5.43595,5.55443,6.6162,6.76982,6.29508,6.30883,6.15284
gbr,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25708,1.23316,1.22301,1.23388,1.27555,1.21771,1.06001,0.93654,0.9362,0.84429,0.8198,0.75968,0.8922,0.85049,0.72847,0.54484,0.57071,0.56246,0.67439,0.67601,0.58668,0.68249,0.6284,0.63328,0.74501,0.63117,0.57887,0.5941,0.57111,0.60472,0.67108,0.7085,0.66034,0.57569,0.5576
geo,Georgia,,,,,,,,,,,,,,,,,,,,,23.06191,23.58107,21.565,22.0348,24.19412,24.14944,24.78676,22.50826,22.49182,21.59677,30.06815,26.70157,52.34584,,,,33.15238,27.50664,26.244,24.72172,20.60201,20.96194,19.24088,19.3015,16.39506,14.76994,11.19878,9.19571,8.13163,8.1013,8.86599,9.73887,8.56566,9.21479,9.20424,8.54206,8.00327,6.91861,7.56159,7.33549,8.31655,7.22732,6.63236,6.0158,5.4157
gha,Ghana,40.85155,35.37634,37.8926,35.90909,35.35599,43.51978,43.28063,40.22606,41.76471,45.92704,46.52501,44.16,46.64298,48.986,51.13734,47.66231,50.56696,56.20353,60.7119,59.9674,57.92028,53.08429,57.34115,59.7306,49.24287,44.89255,47.77539,50.60054,49.61301,48.96748,44.84762,45.51048,44.77906,36.93086,37.79059,38.77859,38.95508,35.7816,36.01411,35.77634,35.27152,35.2418,35.14838,36.54541,37.95243,37.45301,28.3331,27.29411,29.4081,30.99338,28.03874,23.6637,22.13115,20.36984,19.58377,19.98265,20.84429,19.56171,18.13655,17.32323,18.85378,19.65747,19.51364,20.94307,20.72259
gin,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,16.31403,17.96902,15.9613,16.16521,16.93257,12.52399,11.35466,11.9298,13.83224,12.70083,11.93314,13.79722,14.5151,14.74237,14.3901,14.91055,14.83574,14.25165,15.98972,15.28116,15.58456,16.81971,15.98001,16.36062,17.48495,16.06975,16.83167,17.54527,17.52382,18.47824,17.58995,20.52847,22.94001,26.42728,26.30328,27.07154,28.38197,29.47144,29.64126
gmb,Gambia,,,,,,,32.23559,32.26371,32.2449,32.19979,30.24323,30.34934,32.26351,32.22656,32.21477,32.05282,32.63915,30.99636,27.94364,26.69293,27.01857,30.62806,35.44931,32.2887,28.00503,26.37806,28.81145,30.56124,27.40434,25.91604,24.34255,18.15887,17.32569,17.20643,19.23073,21.35874,17.94589,20.58034,19.20354,24.01225,24.53228,25.42563,24.12493,26.74829,31.50262,32.09063,25.60023,23.5662,29.77571,31.73423,35.19324,27.20242,27.39357,26.22212,22.45884,22.20889,21.86138,21.00189,19.8716,20.00405,21.24401,23.57927,22.86044,23.22463,24.1406
gnb,Guinea-Bissau,,,,,,,,,,,47.45552,44.85065,45.78122,42.88253,41.37979,47.772,48.0897,46.1544,51.61293,51.58866,42.19533,49.27083,46.75968,42.44116,41.31734,46.48738,45.24922,53.50911,53.98622,48.65899,56.93605,51.2763,47.83462,52.84461,52.2602,51.79759,54.24518,31.65399,37.05602,36.29768,36.95742,36.76639,35.27596,36.80986,36.9705,40.39782,39.48042,38.16932,38.25952,39.15437,37.95309,37.56339,38.08529,38.66158,34.82581,35.15778,36.34876,36.35849,32.54757,31.08257,35.74697,38.84215,38.66455,34.01552,36.83262
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51826,1.37288,0.8927,1.0582,1.06137,1.0535,1.05566,1.19199,1.29425,1.88839,2.33224,2.31546,2.25798,2.43788,3.15157,2.82637,2.48978,3.09341,3.14907
grc,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86998,6.16423,6.09222,6.10158,5.77247,5.50251,5.36222,5.22103,5.32405,4.54971,4.47718,3.28558,3.15474,2.89506,2.92582,2.91421,3.06185,3.41908,3.35146,3.53346,3.82154,3.45813,3.75227,3.52573,3.66152,3.92383,3.53173,3.7533,3.34344,3.31855
grd,Grenada,,,,,,,,,,,,,,,,,,17.71685,16.04287,17.33926,16.47868,17.13315,14.27337,13.43498,12.99708,11.06597,11.08749,12.29948,11.68848,10.26974,8.88479,8.9187,7.78476,7.43277,7.11657,7.17646,6.00085,5.58635,5.2258,5.37224,5.16416,5.3659,6.29052,5.86975,5.01434,2.96408,3.89055,3.55708,3.76733,4.62642,4.51305,4.44736,4.8322,4.83546,6.10189,7.42853,6.20633,5.37154,5.20544,4.67951,4.90308,5.33785,4.0939,3.18706,2.74943
gtm,Guatemala,,,,,,28.73376,28.51248,27.41318,27.92737,27.29524,27.31634,27.6997,28.28805,27.89251,27.89791,28.04863,27.29467,26.30516,25.84356,25.38151,24.84472,24.98561,25.1243,25.34191,25.62627,25.8515,25.6105,25.97877,25.84863,25.6348,25.87916,25.73998,25.28505,24.8661,24.48727,24.15072,24.0561,23.72674,23.4399,23.04636,22.82115,14.17215,14.17029,13.46913,13.07354,12.58997,11.44907,11.63761,11.33366,11.84861,11.23415,11.25874,10.72275,10.35622,10.07448,9.967,9.6614,9.69629,9.43551,9.40873,9.92632,9.17349,9.0821,9.68671,9.77993
guy,Guyana,23.57779,23.85436,23.45901,24.46067,21.95268,21.57241,19.08436,18.83376,17.3667,17.9302,16.82226,18.02872,17.38695,16.48573,27.66314,28.74947,20.77282,18.74278,20.24138,19.8703,20.68966,18.78522,20.19364,19.82289,20.8659,22.51282,22.58065,25.8705,22.61962,35.06293,38.12959,40.52251,43.79467,36.67884,37.95035,40.85826,37.76896,36.35332,33.90585,35.01395,29.98323,29.73738,30.88166,32.11281,31.49373,28.88587,34.00027,30.38474,31.72756,29.42412,28.52843,25.6836,25.44001,25.64757,24.59409,25.44312,20.38724,22.75803,19.53569,17.59534,16.851,13.45519,10.02984,9.74362,8.02404
hnd,Honduras,33.81499,35.26109,35.39652,34.41004,34.48578,36.4396,36.16692,35.37034,34.63203,32.72455,29.32227,28.24897,28.01993,28,26.58289,24.64413,25.51929,26.89428,39.38804,36.24858,34.9606,32.93801,29.78047,28.29657,25.71563,24.83814,24.68967,23.61302,25.2099,24.56612,24.19137,23.95994,22.68459,21.28719,21.11651,20.54077,20.25457,18.91812,18.31396,13.61819,14.37252,13.16599,12.18341,11.6141,12.1707,12.47092,11.85658,11.91105,12.15017,10.82504,11.59122,14.21966,13.56629,12.19113,12.53835,12.21598,12.0499,12.66977,11.61016,10.63803,12.18807,10.89305,12.47327,11.97879,11.21865
hrv,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65153,5.59219,5.24161,5.31761,5.40263,4.96747,4.96275,4.84219,3.9361,4.41766,3.8665,3.97765,3.68997,3.88031,3.98546,3.64409,3.62385,3.28369,3.43732,2.93853,2.96347,3.05957,2.89003,2.95086,2.85681,3.12844,3.35952,3.39312,3.35727,3.40644
hti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11065,30.593,29.73675,29.8988,34.12061,30.84704,33.92826,23.5554,19.49536,20.81466,21.16247,22.56107,17.18552,16.45058,15.8465,16.72014,15.85052,18.05301,17.7163,19.07511,18.43262,18.79346,20.2327,20.04312,19.4699,19.3275,17.82976,17.2199,17.98351,18.82647,18.70601,19.1874,20.36249,20.68143,20.27535,17.45713,15.86016
hun,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28018,7.39216,6.49783,6.1737,5.44561,5.06575,5.02945,4.3698,3.90627,4.35684,3.72514,3.53875,3.48787,3.47815,2.99528,3.00711,3.97302,3.88851,3.92254,3.9453,3.76136,3.86773,3.74895,3.47163,3.32505,3.36255,3.45783,3.13366,2.90076,2.37108
idn,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,24.10492,23.4561,23.76764,24.25344,23.32695,24.12159,23.42553,21.54872,19.66181,19.52141,17.87984,17.28626,17.13835,16.67239,16.09211,18.08285,19.61268,15.6787,15.99492,16.31967,15.18535,14.33578,13.12662,12.9738,13.71668,14.48174,15.29015,13.92921,13.51229,13.37397,13.3567,13.33675,13.49264,13.47875,13.15663,12.8085,12.7126,13.69841,13.28017,12.39965,12.52942,12.60867
ind,India,41.74134,41.09248,39.06597,39.82535,41.34372,39.3847,40.35165,42.75156,42.08603,41.58492,40.28961,38.63339,38.62683,41.60382,38.87806,35.99691,34.31204,35.77714,34.27396,32.82553,34.40887,33.2977,32.32675,32.60653,31.38053,29.71814,28.64115,27.97238,28.76982,27.83961,27.58489,27.66271,26.89692,27.05456,26.51994,24.45755,25.19931,24.24867,24.18045,22.97256,21.61106,21.61888,19.53454,19.592,17.81469,17.62021,16.80944,16.75012,16.79094,16.74427,17.02651,17.19197,16.84538,17.14842,16.79193,16.17451,16.3638,16.55833,16.03163,16.75557,18.66854,17.37256,16.54613,16.19319,16.35296
irl,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58019,4.69011,3.90674,3.47535,2.57229,2.50493,1.99386,1.73531,1.48,1.57409,1.03355,0.92115,1.04322,0.85003,0.55796,0.95434,1.20301,0.98477,1.06835,1.21597,0.86786,0.92503,1.11925,0.83053,0.88334,0.93956,0.9673,1.09875,0.8757,1.0529
irn,Iran,25.9006,24.90257,23.8275,22.25722,20.76607,18.59562,17.44182,16.51589,15.85361,14.4974,12.99091,12.7127,11.9544,9.86878,6.93282,6.67228,6.48705,5.66537,7.46228,8.57192,11.06046,13.69415,12.77418,11.05713,12.30789,12.77052,15.22803,16.30278,15.38501,15.57682,12.49086,12.01424,12.05433,10.39837,10.55156,12.61024,10.34648,9.8127,11.55506,9.91499,9.06842,8.31084,7.82555,7.45109,6.88958,6.50138,7.11821,7.18557,6.12277,6.92449,6.49939,4.64212,6.79694,8.77491,9.37842,10.0916,9.78442,9.82706,11.13339,13.32487,12.213,12.3931,12.76532,12.83576,12.99652
irq,Iraq,,,,,,,,,16.23006,15.02513,16.60551,15.79333,18.99233,13.54167,8.18607,7.84037,8.18234,8.50773,7.84523,5.47854,4.70429,8.4208,10.29989,11.20038,13.34557,14.39068,14.83552,14.3108,14.58558,16.3961,8.24886,15.61567,19.87057,15.50271,20.1121,20.58514,18.59708,8.4566,10.90971,7.2035,4.63475,6.93096,8.56267,8.40561,6.93856,6.88686,5.82603,4.9295,3.84778,5.22993,5.16228,4.56377,4.12427,4.76844,4.92941,4.19187,3.97719,2.97673,2.81582,3.77001,6.08867,3.2792,2.05871,3.10603,3.39458
isl,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7875,8.58003,8.04589,8.10913,7.60072,6.979,7.46834,7.49401,6.42351,5.28393,4.70377,4.7537,4.18268,4.8855,5.65061,6.29605,6.4529,6.58876,5.84332,5.26717,5.29091,4.57466,3.778,3.90511,4.36148,4.64719,4.2036,4.16239,4.28312,4.04574
isr,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04324,1.90237,1.80828,2.00111,1.73587,1.53367,1.75949,1.81569,1.70818,1.61692,1.87834,1.81906,1.74717,1.80944,2.1414,1.82976,1.85,1.49263,1.52143,1.38783,1.42056,1.45145,1.43332,1.38933,1.34644,1.36657,1.32604,1.16183,1.28615,1.28208
ita,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17863,3.23539,3.11425,2.99505,2.98809,2.97421,2.97233,2.85875,2.7654,2.71813,2.55763,2.48189,2.36532,2.35238,2.3423,2.03006,1.94159,1.89415,1.87301,1.80208,1.76928,1.8491,1.90887,2.05779,1.90848,1.99153,1.84915,1.89343,1.85756,1.81867,1.92802,1.83339,1.89037,1.86924,2.02532
jam,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64725,8.50651,8.59709,8.00341,7.63385,7.17124,6.6796,6.2319,6.12074,5.5443,5.21386,4.98217,5.18624,5.15583,4.61761,4.89912,5.47227,5.269,5.64729,5.77144,5.97048,5.97249,6.30834,6.59879,6.63179,6.59218,7.01965,8.68324,8.3408,8.09937,9.02387,9.8045
jor,Jordan,,,,,,14.14566,10.04255,15.73582,9.68064,12.5,10.77058,12.38646,12.32244,8.06192,14.83018,6.92819,7.47532,7.63326,9.68188,6.26972,7.14224,5.50877,5.62996,6.15135,5.11599,4.91728,5.10154,5.89058,5.85632,5.47104,6.88132,7.24476,6.84135,5.12821,4.42705,3.68634,3.22909,2.88673,2.57941,2.00578,2.01544,1.95327,2.19164,2.46656,2.49787,2.75836,2.58351,2.53147,2.8773,3.23671,3.57519,3.505,3.30512,3.58302,3.96844,4.39227,4.50634,4.442,4.38084,4.37194,4.64657,4.78675,4.81784,4.81198,5.06726
jpn,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89211,1.64503,1.65353,1.52791,1.60329,1.57606,1.51788,1.36751,1.37649,1.29903,1.23096,1.11163,1.0825,1.05336,1.0541,1.08232,1.10828,1.08027,1.12285,1.06672,0.99661,1.03412,1.12498,1.12844,1.04425,1.03895,1.06638,1.01042,0.92188,0.93745,
kaz,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.34163,16.43845,14.94755,12.32939,12.15216,11.40678,8.5658,9.88635,8.11078,8.72483,7.99591,7.86221,7.12296,6.36952,5.49583,5.66029,5.3158,6.14688,4.51053,4.98897,4.28833,4.50355,4.32955,4.71055,4.556,4.51698,4.39586,4.46634,5.39128,5.03,5.24714,3.825,3.93542
ken,Kenya,35.34741,34.0731,37.57419,38.44981,36.83208,32.41864,34.70786,33.65743,31.7057,30.89757,30.16973,28.16229,32.21094,31.8775,31.29914,30.17298,33.32692,37.00683,32.06422,30.18625,27.79076,27.87345,28.9666,29.86876,29.5099,28.60623,28.77758,27.17165,25.5402,25.96381,25.31413,24.32015,24.78129,26.80801,28.11536,26.34962,27.49252,27.69394,27.74491,28.74408,28.72178,27.84926,25.85397,25.80444,24.92904,24.23627,20.51969,20.58666,22.19634,16.25498,17.56776,18.89471,18.82973,18.61655,18.34784,19.46961,20.03452,20.89364,20.31491,20.86116,22.70273,21.47708,21.03619,21.80996,21.34798
kgz,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08504,32.8,32.66355,35.27676,37.26507,39.10583,38.36445,40.68169,46.31762,41.18761,36.05528,34.88163,34.18771,34.541,34.4048,33.62225,29.90445,28.48328,28.68029,26.88021,23.48553,18.76074,17.44826,16.56532,16.6542,14.63787,14.71866,14.06076,12.83447,12.51458,11.67529,10.3739,12.16966,12.41223,10.99681,9.49216,8.6076
khm,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29438,45.55771,47.72456,44.46308,44.44721,44.47996,40.90385,35.52774,32.96538,29.611,29.47438,26.62866,27.44579,26.28574,25.46563,28.03409,28.08932,27.87429,28.03585,26.79535,24.44716,22.19382,20.14085,18.90798,17.86818,16.49795,15.43851,17.03965,16.90441,16.54409,17.07845,16.57687
kir,Kiribati,,,,,,,,,,,,,,,,,,,,18.36897,12.14446,12.31124,9.32604,13.92646,21.71416,14.07506,9.08043,9.11711,16.88544,12.57441,7.08987,9.50671,38.92244,36.91882,36.08755,34.70458,31.96818,29.24232,27.51478,26.86505,21.43371,22.56158,21.51983,22.0412,22.61307,19.97854,21.62964,22.69525,24.65153,26.67571,24.65699,25.71408,25.23225,23.66589,25.29595,22.91966,27.06768,31.03213,26.80943,26.97836,27.02649,25.09512,27.83693,,
kna,St. Kitts and Nevis,,,,,,,,,,,,,,,,,,10.46279,8.63115,8.04431,8.4235,5.77381,8.15465,6.30969,6.64839,4.93127,5.84668,5.91096,5.4432,4.25164,3.49983,3.78699,3.98458,3.85317,3.23366,2.89694,2.78268,3.0509,2.26455,1.7516,1.54558,1.73632,1.78559,1.78005,1.78207,1.66097,1.18856,1.15525,1.22394,1.1222,1.26847,1.33469,1.16602,1.08373,0.93788,0.84852,0.7898,0.90299,0.91617,0.89964,1.12671,1.23971,1.1876,1.51092,1.30415
kor,South Korea,36.57463,38.68081,36.62203,43.10511,46.53238,37.52706,34.3964,30.20706,28.15878,27.40995,26.48573,27.13787,26.50608,24.60695,24.17204,24.48594,23.04668,21.78997,19.91691,18.53634,14.26932,15.02543,14.00327,12.62528,11.87256,11.7537,10.42823,9.30921,9.22102,8.54152,7.6065,6.82449,6.60761,5.91488,5.65822,5.32867,4.96065,4.47517,4.22594,4.24975,3.85779,3.56582,3.2068,2.9646,2.95802,2.61998,2.49747,2.28341,2.14225,2.24056,2.14402,2.2092,2.18619,2.09905,2.05668,2.00391,1.85903,1.85076,1.7464,1.66793,1.76572,1.85566,1.64165,1.59561,
